Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
05 Jan 2000 04:50:13.360    05 Jan 2000 05:01:25.208      671.84769959    
05 Jan 2000 15:47:41.465    05 Jan 2000 15:57:52.355      610.88973493    
05 Jan 2000 17:27:36.970    05 Jan 2000 17:35:40.266      483.29601976    
06 Jan 2000 04:15:07.265    06 Jan 2000 04:26:15.132      667.86719759    
06 Jan 2000 05:57:55.046    06 Jan 2000 06:00:48.120      173.07434004    


Number of events : 16


Observer: PE
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:29:01.825    01 Jan 2000 16:40:20.084      678.25889715    
02 Jan 2000 04:56:27.986    02 Jan 2000 05:07:46.111      678.12524739    
02 Jan 2000 15:54:39.676    02 Jan 2000 16:04:31.415      591.73951191    
02 Jan 2000 17:34:07.599    02 Jan 2000 17:42:45.923      518.32376460    
03 Jan 2000 04:21:30.401    03 Jan 2000 04:32:26.570      656.16922367    
03 Jan 2000 06:03:06.059    03 Jan 2000 06:08:14.804      308.74505859    
03 Jan 2000 15:21:46.539    03 Jan 2000 15:27:22.304      335.76535089    
03 Jan 2000 16:57:48.166    03 Jan 2000 17:08:45.245      657.07885682    
04 Jan 2000 03:47:26.969    04 Jan 2000 03:56:09.898      522.92881374    
04 Jan 2000 05:25:48.880    04 Jan 2000 05:35:30.068      581.18740629    
04 Jan 2000 16:22:26.634    04 Jan 2000 16:33:49.551      682.91693522    
05 Jan 2000 04:49:57.775    05 Jan 2000 05:01:10.572      672.79724465    
05 Jan 2000 15:47:54.961    05 Jan 2000 15:58:09.264      614.30290887    
05 Jan 2000 17:27:55.799    05 Jan 2000 17:35:53.054      477.25558563    
06 Jan 2000 04:14:52.730    06 Jan 2000 04:25:59.219      666.48874719    
06 Jan 2000 05:57:24.352    06 Jan 2000 06:00:47.558      203.20587703    


Number of events : 16


Observer: PI
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:29:33.505    01 Jan 2000 16:39:12.079      578.57385334    
01 Jan 2000 18:08:45.660    01 Jan 2000 18:17:39.752      534.09149679    
02 Jan 2000 04:57:51.570    02 Jan 2000 05:08:53.285      661.71495746    
02 Jan 2000 06:40:00.664    02 Jan 2000 06:44:10.329      249.66492240    
02 Jan 2000 15:56:57.674    02 Jan 2000 16:01:43.440      285.76614606    
02 Jan 2000 17:32:32.539    02 Jan 2000 17:43:35.260      662.72088705    
03 Jan 2000 04:23:44.169    03 Jan 2000 04:32:43.004      538.83555016    
03 Jan 2000 06:02:20.076    03 Jan 2000 06:11:46.757      566.68095239    
03 Jan 2000 16:57:15.011    03 Jan 2000 17:08:36.466      681.45509820    
04 Jan 2000 03:52:37.777    04 Jan 2000 03:53:32.851      55.074584344    
04 Jan 2000 05:26:22.936    04 Jan 2000 05:37:32.450      669.51366289    
04 Jan 2000 16:22:47.754    04 Jan 2000 16:32:51.198      603.44444584    
04 Jan 2000 18:02:32.092    04 Jan 2000 18:10:48.060      495.96811332    
05 Jan 2000 04:51:14.415    05 Jan 2000 05:02:25.170      670.75458103    
05 Jan 2000 06:34:56.046    05 Jan 2000 06:36:06.509      70.463089063    
05 Jan 2000 15:49:43.539    05 Jan 2000 15:55:49.507      365.96796568    
