Target: SCD2

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 19:40:12.212    01 Jan 2000 19:50:13.740      601.52785307    
01 Jan 2000 21:25:23.249    01 Jan 2000 21:37:14.974      711.72519999    
01 Jan 2000 23:11:44.195    01 Jan 2000 23:23:40.749      716.55442785    
02 Jan 2000 00:58:17.931    02 Jan 2000 01:10:11.216      713.28470012    
02 Jan 2000 02:44:46.210    02 Jan 2000 02:56:27.893      701.68285008    
02 Jan 2000 04:31:50.829    02 Jan 2000 04:41:33.063      582.23389842    
02 Jan 2000 18:55:01.522    02 Jan 2000 19:02:59.288      477.76592409    
02 Jan 2000 20:39:17.381    02 Jan 2000 20:50:46.325      688.94405753    
02 Jan 2000 22:25:18.704    02 Jan 2000 22:37:17.835      719.13149909    
03 Jan 2000 00:11:52.407    03 Jan 2000 00:23:45.533      713.12585310    
03 Jan 2000 01:58:21.394    03 Jan 2000 02:10:13.074      711.68025235    
03 Jan 2000 03:45:02.048    03 Jan 2000 03:55:55.598      653.55023610    
03 Jan 2000 05:33:40.384    03 Jan 2000 05:39:15.285      334.90136317    


Number of events : 13


Observer: RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:08:03.347    01 Jan 2000 16:16:48.956      525.60939101    
01 Jan 2000 17:52:52.168    01 Jan 2000 18:04:50.303      718.13474799    
01 Jan 2000 19:39:36.926    01 Jan 2000 19:50:56.086      679.16063927    
01 Jan 2000 21:28:11.340    01 Jan 2000 21:36:10.774      479.43413572    
01 Jan 2000 23:17:37.296    01 Jan 2000 23:21:45.004      247.70836397    
02 Jan 2000 01:04:08.546    02 Jan 2000 01:10:27.230      378.68454672    
02 Jan 2000 02:49:18.375    02 Jan 2000 02:59:30.769      612.39407103    
02 Jan 2000 04:35:00.558    02 Jan 2000 04:46:51.445      710.88684927    
02 Jan 2000 06:22:10.750    02 Jan 2000 06:32:20.706      609.95613195    
02 Jan 2000 15:23:16.695    02 Jan 2000 15:28:33.550      316.85533634    
02 Jan 2000 17:06:52.146    02 Jan 2000 17:18:08.363      676.21721736    
02 Jan 2000 18:52:52.862    02 Jan 2000 19:04:49.728      716.86599387    
02 Jan 2000 20:40:44.472    02 Jan 2000 20:50:18.907      574.43489690    
02 Jan 2000 22:30:07.834    02 Jan 2000 22:35:30.444      322.61017839    
03 Jan 2000 00:18:06.704    03 Jan 2000 00:22:50.002      283.29871452    
03 Jan 2000 02:03:24.677    03 Jan 2000 02:12:14.952      530.27417944    
03 Jan 2000 03:48:47.597    03 Jan 2000 04:00:19.701      692.10432378    
03 Jan 2000 05:35:14.512    03 Jan 2000 05:46:33.855      679.34287997    
03 Jan 2000 07:24:10.200    03 Jan 2000 07:30:36.873      386.67300451    


Number of events : 19


Observer: RO
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:48:57.083    01 Jan 2000 17:54:07.803      310.72001330    
01 Jan 2000 19:32:21.609    01 Jan 2000 19:43:39.766      678.15707495    
