Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s)
SCD1,ETA,2000-01-03 23:24:23.602,2000-01-03 23:33:40.308,556.70599047
SCD1,ETA,2000-01-04 08:21:10.938,2000-01-04 08:31:24.602,613.66380426
SCD1,ETA,2000-01-04 10:06:36.838,2000-01-04 10:18:36.202,719.36363610
SCD1,ETA,2000-01-04 11:53:55.771,2000-01-04 12:04:09.313,613.54168978
SCD1,ETA,2000-01-04 13:43:48.795,2000-01-04 13:48:22.141,273.34582738
SCD1,ETA,2000-01-04 17:20:25.825,2000-01-04 17:22:52.849,147.02377128
SCD1,ETA,2000-01-04 19:04:05.284,2000-01-04 19:13:36.821,571.53733416
SCD1,ETA,2000-01-04 20:49:24.233,2000-01-04 21:01:20.321,716.08750377
SCD1,ETA,2000-01-04 22:36:13.156,2000-01-04 22:47:06.505,653.34902894
SCD1,ETA,2000-01-05 00:26:00.049,2000-01-05 00:30:36.937,276.88788754
SCD1,ETA,2000-01-05 07:34:47.782,2000-01-05 07:42:58.728,490.94551433
SCD1,ETA,2000-01-05 09:19:27.211,2000-01-05 09:31:11.117,703.90588859
SCD1,ETA,2000-01-05 11:05:57.441,2000-01-05 11:17:18.647,681.20572285
SCD1,ETA,2000-01-05 12:54:38.491,2000-01-05 13:02:08.164,449.67242454
SCD1,ETA,2000-01-05 18:17:32.028,2000-01-05 18:25:01.309,449.28111392
SCD1,ETA,2000-01-05 20:02:21.319,2000-01-05 20:13:43.163,681.84405800
SCD1,ETA,2000-01-05 21:48:28.521,2000-01-05 22:00:14.043,705.52239215
SCD1,ETA,2000-01-05 23:36:40.154,2000-01-05 23:44:54.246,494.09174079
SCD1,ETA,2000-01-06 06:49:06.323,2000-01-06 06:53:37.531,271.20833489
SCD1,ETA,2000-01-06 08:32:35.005,2000-01-06 08:43:26.269,651.26401585
SCD1,ETA,2000-01-06 10:18:20.563,2000-01-06 10:30:15.621,715.05798121
SCD1,ETC,2000-01-01 12:26:59.435,2000-01-01 12:38:58.240,718.80498991
SCD1,ETC,2000-01-01 14:13:23.563,2000-01-01 14:25:21.051,717.48764327
SCD1,ETC,2000-01-01 16:00:35.218,2000-01-01 16:11:46.537,671.31866090
SCD1,ETC,2000-01-01 17:47:27.529,2000-01-01 17:58:50.346,682.81709229
SCD1,ETC,2000-01-01 19:33:45.892,2000-01-01 19:45:55.132,729.24077148
SCD1,ETC,2000-01-01 21:20:21.275,2000-01-01 21:31:53.428,692.15210471
SCD1,ETC,2000-01-01 23:09:04.307,2000-01-01 23:15:28.065,383.75827542
SCD1,ETC,2000-01-02 09:57:04.775,2000-01-02 10:02:04.243,299.46802809
SCD1,ETC,2000-01-02 11:40:05.932,2000-01-02 11:51:22.377,676.44493282
SCD1,ETC,2000-01-02 13:25:53.564,2000-01-02 13:38:04.193,730.62869960
SCD1,ETC,2000-01-02 15:12:53.942,2000-01-02 15:24:21.394,687.45219181
SCD1,ETC,2000-01-02 17:00:00.602,2000-01-02 17:11:09.562,668.95978244
SCD1,ETC,2000-01-02 18:46:29.296,2000-01-02 18:58:22.431,713.13536321
SCD1,ETC,2000-01-02 20:32:49.230,2000-01-02 20:44:54.880,725.65029514
SCD1,ETC,2000-01-02 22:20:16.346,2000-01-02 22:29:45.349,569.00319041
